ISOCode,Location,Location-en,RecDtm,Confirmed,Recovered,Deaths,WaveID
VN-39 ,Đồng Nai,Dong Nai,2020-08-21 12:00:00,1005,32,2,1
VN-40 ,Bình Thuận,Binh Thuan,2020-08-21 12:00:00,126,11,0,1
VN-41 ,Long An,Long An,2020-08-21 12:00:00,744,11,10,1
VN-43 ,Bà Rịa-Vũng Tàu,Ba Ria-Vung Tau,2020-08-21 12:00:00,341,127,0,1
VN-44 ,An Giang,An Giang,2020-08-21 12:00:00,171,9,1,1
VN-45 ,Đồng Tháp,Dong Thap,2020-08-21 12:00:00,1332,27,21,1
VN-46 ,Tiền Giang,Tien Giang,2020-08-21 12:00:00,895,5,1,1
VN-47 ,Kiên Giang,Kien Giang,2020-08-21 12:00:00,163,27,0,1
VN-49 ,Vĩnh Long,Vinh Long,2020-08-21 12:00:00,381,13,0,1
VN-50 ,Bến Tre,Ben Tre,2020-08-21 12:00:00,217,18,0,1
VN-51 ,Trà Vinh,Tra Vinh,2020-08-21 12:00:00,87,8,0,1
VN-52 ,Sóc Trăng,Soc Trang,2020-08-21 12:00:00,60,0,0,1
VN-53 ,Bắc Kạn,Bac Kan,2020-08-21 12:00:00,6,0,0,1
VN-54 ,Bắc Giang,Bac Giang,2020-08-21 12:00:00,5951,3592,12,1
VN-55 ,Bạc Liêu,Bac Lieu,2020-08-21 12:00:00,65,53,0,1
VN-56 ,Bắc Ninh,Bac Ninh,2020-08-21 12:00:00,1728,1042,11,1
VN-57 ,Bình Dương,Binh Duong,2020-08-21 12:00:00,3077,45,3,1
VN-58 ,Bình Phước,Binh Phuoc,2020-08-21 12:00:00,93,0,0,1
VN-59 ,Cà Mau,Ca Mau,2020-08-21 12:00:00,26,8,0,1
VN-61 ,Hải Dương,Hai Duong,2020-08-21 12:00:00,817,804,0,1
VN-63 ,Hà Nam,Ha Nam,2020-08-21 12:00:00,65,50,0,1
VN-66 ,Hưng Yên,Hung Yen,2020-08-21 12:00:00,273,68,0,1
VN-67 ,Nam Định,Nam Dinh,2020-08-21 12:00:00,31,18,0,1
VN-68 ,Phú Thọ,Phu Tho,2020-08-21 12:00:00,8,5,0,1
VN-69 ,Thái Nguyên,Thai Nguyen,2020-08-21 12:00:00,9,8,0,1
VN-70 ,Vĩnh Phúc,Vinh Phuc,2020-08-21 12:00:00,133,50,0,1
VN-71 ,Điện Biên,Dien Bien,2020-08-21 12:00:00,59,52,0,1
VN-72 ,Đắk Nông,Dak Nong,2020-08-21 12:00:00,13,0,0,1
VN-73 ,Hậu Giang,Hau Giang,2020-08-21 12:00:00,47,0,0,1
VN-CT ,Cần Thơ,Can Tho,2020-08-21 12:00:00,145,35,0,1
VN-DN ,Đà Nẵng,Da Nang,2020-08-21 12:00:00,958,617,34,1
VN-HN ,Hà Nội,Ha Noi,2020-08-21 12:00:00,945,518,20,1
VN-HP ,Hải Phòng,Hai Phong,2020-08-21 12:00:00,33,12,0,1
VN-SG ,TP. Hồ Chí Minh,TP. Ho Chi Minh,2020-08-21 12:00:00,34408,692,123,1
VN-01 ,Lai Châu,Lai Chau,2021-12-31 12:00:00,68,35,0,2
VN-02 ,Lào Cai,Lao Cai,2021-12-31 12:00:00,402,165,0,2
VN-03 ,Hà Giang,Ha Giang,2021-12-31 12:00:00,6504,3,0,2
VN-04 ,Cao Bằng,Cao Bang,2021-12-31 12:00:00,361,155,0,2
VN-05 ,Sơn La,Son La,2021-12-31 12:00:00,759,380,0,2
VN-06 ,Yên Bái,Yen Bai,2021-12-31 12:00:00,453,236,0,2
VN-07 ,Tuyên Quang,Tuyen Quang,2021-12-31 12:00:00,923,480,0,2
VN-09 ,Lạng Sơn,Lang Son,2021-12-31 12:00:00,1386,1,2,2
VN-13 ,Quảng Ninh,Quang Ninh,2021-12-31 12:00:00,2426,1,0,2
VN-14 ,Hòa Bình,Hoa Binh,2021-12-31 12:00:00,1174,1,0,2
VN-18 ,Ninh Bình,Ninh Binh,2021-12-31 12:00:00,433,238,0,2
VN-20 ,Thái Bình,Thai Binh,2021-12-31 12:00:00,2349,1,0,2
VN-21 ,Thanh Hóa,Thanh Hoa,2021-12-31 12:00:00,6535,2,0,2
VN-22 ,Nghệ An,Nghe An,2021-12-31 12:00:00,7116,3,3,2
VN-23 ,Hà Tĩnh,Ha Tinh,2021-12-31 12:00:00,1478,1,3,2
VN-24 ,Quảng Bình,Quang Binh,2021-12-31 12:00:00,3420,2,0,2
VN-25 ,Quảng Trị,Quang Tri,2021-12-31 12:00:00,1812,0,2,2
VN-26 ,Thừa Thiên-Huế,Thua Thien-Hue,2021-12-31 12:00:00,10978,5,0,2
VN-27 ,Quảng Nam,Quang Nam,2021-12-31 12:00:00,5119,3,4,2
VN-28 ,Kon Tum,Kon Tum,2021-12-31 12:00:00,671,268,0,2
VN-29 ,Quảng Ngãi,Quang Ngai,2021-12-31 12:00:00,4898,1,0,2
VN-30 ,Gia Lai,Gia Lai,2021-12-31 12:00:00,6332,2,0,2
VN-31 ,Bình Định,Binh Dinh,2021-12-31 12:00:00,12536,7,0,2
VN-32 ,Phú Yên,Phu Yen,2021-12-31 12:00:00,6176,2,0,2
VN-33 ,Đắk Lắk,Dak Lak,2021-12-31 12:00:00,10605,5,0,2
VN-34 ,Khánh Hòa,Khanh Hoa,2021-12-31 12:00:00,28281,8,0,2
VN-35 ,Lâm Đồng,Lam Dong,2021-12-31 12:00:00,7472,3,0,2
VN-36 ,Ninh Thuận,Ninh Thuan,2021-12-31 12:00:00,4539,3,0,2
VN-37 ,Tây Ninh,Tay Ninh,2021-12-31 12:00:00,69666,35,2,2
VN-39 ,Đồng Nai,Dong Nai,2021-12-31 12:00:00,96621,52,4,2
VN-40 ,Bình Thuận,Binh Thuan,2021-12-31 12:00:00,24657,11,0,2
VN-41 ,Long An,Long An,2021-12-31 12:00:00,40015,20,18,2
VN-43 ,Bà Rịa-Vũng Tàu,Ba Ria-Vung Tau,2021-12-31 12:00:00,25619,13,0,2
VN-44 ,An Giang,An Giang,2021-12-31 12:00:00,31075,12,1,2
VN-45 ,Đồng Tháp,Dong Thap,2021-12-31 12:00:00,40334,17,57,2
VN-46 ,Tiền Giang,Tien Giang,2021-12-31 12:00:00,32605,16,1,2
VN-47 ,Kiên Giang,Kien Giang,2021-12-31 12:00:00,28631,12,0,2
VN-49 ,Vĩnh Long,Vinh Long,2021-12-31 12:00:00,26841,13,0,2
VN-50 ,Bến Tre,Ben Tre,2021-12-31 12:00:00,24372,13,0,2
VN-51 ,Trà Vinh,Tra Vinh,2021-12-31 12:00:00,18086,9,0,2
VN-52 ,Sóc Trăng,Soc Trang,2021-12-31 12:00:00,28630,15,0,2
VN-53 ,Bắc Kạn,Bac Kan,2021-12-31 12:00:00,46,28,0,2
VN-54 ,Bắc Giang,Bac Giang,2021-12-31 12:00:00,7534,4,23,2
VN-55 ,Bạc Liêu,Bac Lieu,2021-12-31 12:00:00,26469,12,0,2
VN-56 ,Bắc Ninh,Bac Ninh,2021-12-31 12:00:00,9616,3,20,2
VN-57 ,Bình Dương,Binh Duong,2021-12-31 12:00:00,289933,81,5,2
VN-58 ,Bình Phước,Binh Phuoc,2021-12-31 12:00:00,20156,8,0,2
VN-59 ,Cà Mau,Ca Mau,2021-12-31 12:00:00,31479,9,0,2
VN-61 ,Hải Dương,Hai Duong,2021-12-31 12:00:00,2111,1,0,2
VN-63 ,Hà Nam,Ha Nam,2021-12-31 12:00:00,1915,1,0,2
VN-66 ,Hưng Yên,Hung Yen,2021-12-31 12:00:00,3799,2,0,2
VN-67 ,Nam Định,Nam Dinh,2021-12-31 12:00:00,2877,1,0,2
VN-68 ,Phú Thọ,Phu Tho,2021-12-31 12:00:00,2736,2,0,2
VN-69 ,Thái Nguyên,Thai Nguyen,2021-12-31 12:00:00,1509,1,0,2
VN-70 ,Vĩnh Phúc,Vinh Phuc,2021-12-31 12:00:00,2472,1,0,2
VN-71 ,Điện Biên,Dien Bien,2021-12-31 12:00:00,534,230,0,2
VN-72 ,Đắk Nông,Dak Nong,2021-12-31 12:00:00,4467,1,0,2
VN-73 ,Hậu Giang,Hau Giang,2021-12-31 12:00:00,12034,6,0,2
VN-CT ,Cần Thơ,Can Tho,2021-12-31 12:00:00,37961,12,0,2
VN-DN ,Đà Nẵng,Da Nang,2021-12-31 12:00:00,10333,5,71,2
VN-HN ,Hà Nội,Ha Noi,2021-12-31 12:00:00,34716,11,52,2
VN-HP ,Hải Phòng,Hai Phong,2021-12-31 12:00:00,5370,2,0,2
VN-SG ,TP. Hồ Chí Minh,Ho Chi Minh City,2021-12-31 12:00:00,499513,130,160,2
VN-01 ,Lai Châu,Lai Chau,2022-03-04 12:00:00,9464,4,1,3
VN-02 ,Lào Cai,Lao Cai,2022-03-04 12:00:00,37051,14,3,3
VN-03 ,Hà Giang,Ha Giang,2022-03-04 12:00:00,46126,13,10,3
VN-04 ,Cao Bằng,Cao Bang,2022-03-04 12:00:00,17099,5,4,3
VN-05 ,Sơn La,Son La,2022-03-04 12:00:00,36914,11,3,3
VN-06 ,Yên Bái,Yen Bai,2022-03-04 12:00:00,30321,13,5,3
VN-07 ,Tuyên Quang,Tuyen Quang,2022-03-04 12:00:00,31057,13,3,3
VN-09 ,Lạng Sơn,Lang Son,2022-03-04 12:00:00,36050,19,1,3
VN-13 ,Quảng Ninh,Quang Ninh,2022-03-04 12:00:00,96737,32,5,3
VN-14 ,Hòa Bình,Hoa Binh,2022-03-04 12:00:00,51721,19,0,3
VN-18 ,Ninh Bình,Ninh Binh,2022-03-04 12:00:00,38847,22,3,3
VN-20 ,Thái Bình,Thai Binh,2022-03-04 12:00:00,64161,17,1,3
VN-21 ,Thanh Hóa,Thanh Hoa,2022-03-04 12:00:00,45522,27,6,3
VN-22 ,Nghệ An,Nghe An,2022-03-04 12:00:00,69806,38,12,3
VN-23 ,Hà Tĩnh,Ha Tinh,2022-03-04 12:00:00,16746,9,1,3
VN-24 ,Quảng Bình,Quang Binh,2022-03-04 12:00:00,29183,11,2,3
VN-25 ,Quảng Trị,Quang Tri,2022-03-04 12:00:00,17429,5,0,3
VN-26 ,Thừa Thiên-Huế,Thua Thien-Hue,2022-03-04 12:00:00,28356,13,7,3
VN-27 ,Quảng Nam,Quang Nam,2022-03-04 12:00:00,34658,16,6,3
VN-28 ,Kon Tum,Kon Tum,2022-03-04 12:00:00,7104,2,0,3
VN-29 ,Quảng Ngãi,Quang Ngai,2022-03-04 12:00:00,20408,9,4,3
VN-30 ,Gia Lai,Gia Lai,2022-03-04 12:00:00,20899,9,4,3
VN-31 ,Bình Định,Binh Dinh,2022-03-04 12:00:00,55240,23,8,3
VN-32 ,Phú Yên,Phu Yen,2022-03-04 12:00:00,21102,7,4,3
VN-33 ,Đắk Lắk,Dak Lak,2022-03-04 12:00:00,41360,17,8,3
VN-34 ,Khánh Hòa,Khanh Hoa,2022-03-04 12:00:00,82329,29,5,3
VN-35 ,Lâm Đồng,Lam Dong,2022-03-04 12:00:00,30743,13,3,3
VN-36 ,Ninh Thuận,Ninh Thuan,2022-03-04 12:00:00,7228,2,1,3
VN-37 ,Tây Ninh,Tay Ninh,2022-03-04 12:00:00,93016,35,20,3
VN-39 ,Đồng Nai,Dong Nai,2022-03-04 12:00:00,101863,56,4,3
VN-40 ,Bình Thuận,Binh Thuan,2022-03-04 12:00:00,33472,10,8,3
VN-41 ,Long An,Long An,2022-03-04 12:00:00,42812,14,4,3
VN-43 ,Bà Rịa-Vũng Tàu,Ba Ria-Vung Tau,2022-03-04 12:00:00,42614,21,7,3
VN-44 ,An Giang,An Giang,2022-03-04 12:00:00,36169,17,1,3
VN-45 ,Đồng Tháp,Dong Thap,2022-03-04 12:00:00,48170,16,10,3
VN-46 ,Tiền Giang,Tien Giang,2022-03-04 12:00:00,35552,16,0,3
VN-47 ,Kiên Giang,Kien Giang,2022-03-04 12:00:00,34684,16,1,3
VN-49 ,Vĩnh Long,Vinh Long,2022-03-04 12:00:00,55785,31,3,3
VN-50 ,Bến Tre,Ben Tre,2022-03-04 12:00:00,45369,22,11,3
VN-51 ,Trà Vinh,Tra Vinh,2022-03-04 12:00:00,39708,12,0,3
VN-52 ,Sóc Trăng,Soc Trang,2022-03-04 12:00:00,32391,13,7,3
VN-53 ,Bắc Kạn,Bac Kan,2022-03-04 12:00:00,5856,4,1,3
VN-54 ,Bắc Giang,Bac Giang,2022-03-04 12:00:00,69153,34,10,3
VN-55 ,Bạc Liêu,Bac Lieu,2022-03-04 12:00:00,37863,17,8,3
VN-56 ,Bắc Ninh,Bac Ninh,2022-03-04 12:00:00,93015,44,8,3
VN-57 ,Bình Dương,Binh Duong,2022-03-04 12:00:00,301720,121,54,3
VN-58 ,Bình Phước,Binh Phuoc,2022-03-04 12:00:00,62454,35,6,3
VN-59 ,Cà Mau,Ca Mau,2022-03-04 12:00:00,66535,30,1,3
VN-61 ,Hải Dương,Hai Duong,2022-03-04 12:00:00,90759,25,12,3
VN-63 ,Hà Nam,Ha Nam,2022-03-04 12:00:00,18626,5,3,3
VN-66 ,Hưng Yên,Hung Yen,2022-03-04 12:00:00,54628,22,11,3
VN-67 ,Nam Định,Nam Dinh,2022-03-04 12:00:00,83023,40,19,3
VN-68 ,Phú Thọ,Phu Tho,2022-03-04 12:00:00,70525,26,6,3
VN-69 ,Thái Nguyên,Thai Nguyen,2022-03-04 12:00:00,77141,36,10,3
VN-70 ,Vĩnh Phúc,Vinh Phuc,2022-03-04 12:00:00,90547,24,17,3
VN-71 ,Điện Biên,Dien Bien,2022-03-04 12:00:00,16261,9,4,3
VN-72 ,Đắk Nông,Dak Nong,2022-03-04 12:00:00,17861,10,2,3
VN-73 ,Hậu Giang,Hau Giang,2022-03-04 12:00:00,15855,6,1,3
VN-CT ,Cần Thơ,Can Tho,2022-03-04 12:00:00,45437,25,5,3
VN-DN ,Đà Nẵng,Da Nang,2022-03-04 12:00:00,56294,24,5,3
VN-HN ,Hà Nội,Ha Noi,2022-03-04 12:00:00,319515,173,13,3
VN-HP ,Hải Phòng,Hai Phong,2022-03-04 12:00:00,74799,27,8,3
VN-SG ,TP. Hồ Chí Minh,Ho Chi Minh City,2022-03-04 12:00:00,543647,272,125,3
VN-01 ,Lai Châu,Lai Chau,2022-03-11 12:00:00,23366,10,0,4
VN-02 ,Lào Cai,Lao Cai,2022-03-11 12:00:00,57096,17,7,4
VN-03 ,Hà Giang,Ha Giang,2022-03-11 12:00:00,61142,16,10,4
VN-04 ,Cao Bằng,Cao Bang,2022-03-11 12:00:00,32620,9,5,4
VN-05 ,Sơn La,Son La,2022-03-11 12:00:00,71774,33,14,4
VN-06 ,Yên Bái,Yen Bai,2022-03-11 12:00:00,47506,28,0,4
VN-07 ,Tuyên Quang,Tuyen Quang,2022-03-11 12:00:00,56629,31,8,4
VN-09 ,Lạng Sơn,Lang Son,2022-03-11 12:00:00,64390,26,6,4
VN-13 ,Quảng Ninh,Quang Ninh,2022-03-11 12:00:00,164449,66,26,4
VN-14 ,Hòa Bình,Hoa Binh,2022-03-11 12:00:00,113829,31,17,4
VN-18 ,Ninh Bình,Ninh Binh,2022-03-11 12:00:00,59186,30,8,4
VN-20 ,Thái Bình,Thai Binh,2022-03-11 12:00:00,83736,27,7,4
VN-21 ,Thanh Hóa,Thanh Hoa,2022-03-11 12:00:00,85024,48,0,4
VN-22 ,Nghệ An,Nghe An,2022-03-11 12:00:00,194339,66,25,4
VN-23 ,Hà Tĩnh,Ha Tinh,2022-03-11 12:00:00,22673,6,5,4
VN-24 ,Quảng Bình,Quang Binh,2022-03-11 12:00:00,48022,21,7,4
VN-25 ,Quảng Trị,Quang Tri,2022-03-11 12:00:00,29886,11,7,4
VN-26 ,Thừa Thiên-Huế,Thua Thien-Hue,2022-03-11 12:00:00,30763,8,5,4
VN-27 ,Quảng Nam,Quang Nam,2022-03-11 12:00:00,37042,13,1,4
VN-28 ,Kon Tum,Kon Tum,2022-03-11 12:00:00,9421,3,0,4
VN-29 ,Quảng Ngãi,Quang Ngai,2022-03-11 12:00:00,24212,12,2,4
VN-30 ,Gia Lai,Gia Lai,2022-03-11 12:00:00,28570,9,6,4
VN-31 ,Bình Định,Binh Dinh,2022-03-11 12:00:00,78845,20,2,4
VN-32 ,Phú Yên,Phu Yen,2022-03-11 12:00:00,27052,11,1,4
VN-33 ,Đắk Lắk,Dak Lak,2022-03-11 12:00:00,64274,37,1,4
VN-34 ,Khánh Hòa,Khanh Hoa,2022-03-11 12:00:00,97387,40,19,4
VN-35 ,Lâm Đồng,Lam Dong,2022-03-11 12:00:00,38947,20,7,4
VN-36 ,Ninh Thuận,Ninh Thuan,2022-03-11 12:00:00,7430,3,0,4
VN-37 ,Tây Ninh,Tay Ninh,2022-03-11 12:00:00,100595,60,17,4
VN-39 ,Đồng Nai,Dong Nai,2022-03-11 12:00:00,103453,42,9,4
VN-40 ,Bình Thuận,Binh Thuan,2022-03-11 12:00:00,37584,18,8,4
VN-41 ,Long An,Long An,2022-03-11 12:00:00,44075,22,5,4
VN-43 ,Bà Rịa-Vũng Tàu,Ba Ria-Vung Tau,2022-03-11 12:00:00,50326,15,10,4
VN-44 ,An Giang,An Giang,2022-03-11 12:00:00,36587,17,4,4
VN-45 ,Đồng Tháp,Dong Thap,2022-03-11 12:00:00,48558,17,5,4
VN-46 ,Tiền Giang,Tien Giang,2022-03-11 12:00:00,35678,11,5,4
VN-47 ,Kiên Giang,Kien Giang,2022-03-11 12:00:00,35557,18,2,4
VN-49 ,Vĩnh Long,Vinh Long,2022-03-11 12:00:00,60501,36,6,4
VN-50 ,Bến Tre,Ben Tre,2022-03-11 12:00:00,54474,16,0,4
VN-51 ,Trà Vinh,Tra Vinh,2022-03-11 12:00:00,52740,16,12,4
VN-52 ,Sóc Trăng,Soc Trang,2022-03-11 12:00:00,32661,18,5,4
VN-53 ,Bắc Kạn,Bac Kan,2022-03-11 12:00:00,12285,6,0,4
VN-54 ,Bắc Giang,Bac Giang,2022-03-11 12:00:00,147922,71,18,4
VN-55 ,Bạc Liêu,Bac Lieu,2022-03-11 12:00:00,39861,24,3,4
VN-56 ,Bắc Ninh,Bac Ninh,2022-03-11 12:00:00,212136,64,8,4
VN-57 ,Bình Dương,Binh Duong,2022-03-11 12:00:00,333615,133,40,4
VN-58 ,Bình Phước,Binh Phuoc,2022-03-11 12:00:00,79806,38,14,4
VN-59 ,Cà Mau,Ca Mau,2022-03-11 12:00:00,88807,25,17,4
VN-61 ,Hải Dương,Hai Duong,2022-03-11 12:00:00,117537,63,9,4
VN-63 ,Hà Nam,Ha Nam,2022-03-11 12:00:00,34639,14,2,4
VN-66 ,Hưng Yên,Hung Yen,2022-03-11 12:00:00,86739,47,8,4
VN-67 ,Nam Định,Nam Dinh,2022-03-11 12:00:00,112211,34,22,4
VN-68 ,Phú Thọ,Phu Tho,2022-03-11 12:00:00,141561,65,8,4
VN-69 ,Thái Nguyên,Thai Nguyen,2022-03-11 12:00:00,107355,44,9,4
VN-70 ,Vĩnh Phúc,Vinh Phuc,2022-03-11 12:00:00,153524,69,28,4
VN-71 ,Điện Biên,Dien Bien,2022-03-11 12:00:00,32257,12,4,4
VN-72 ,Đắk Nông,Dak Nong,2022-03-11 12:00:00,24650,13,1,4
VN-73 ,Hậu Giang,Hau Giang,2022-03-11 12:00:00,16049,5,2,4
VN-CT ,Cần Thơ,Can Tho,2022-03-11 12:00:00,46640,24,0,4
VN-DN ,Đà Nẵng,Da Nang,2022-03-11 12:00:00,71075,36,1,4
VN-HN ,Hà Nội,Ha Noi,2022-03-11 12:00:00,553911,161,127,4
VN-HP ,Hải Phòng,Hai Phong,2022-03-11 12:00:00,95332,40,10,4
VN-SG ,TP. Hồ Chí Minh,Ho Chi Minh City,2022-03-11 12:00:00,565391,294,45,4
